date,time,username,tweet,Compound_Score,Sentiments
19/12/2022,16:42:12,tribunyambique,"the bharada e art ferdy sambo program is missing, witnesses to clear facts",0.1027,Positif
20/12/2022,20:20:01,catra_com,bharada e event opens the sound of sambo gloves,0.0,Netral
15/12/2022,8:34:04,vivacoid,event bharada e evidence ferdy sambo wearing gloves shooting brigadier j,0.0,Netral
04/01/2023,15:56:05,idntimes,bharada e cctv show at ferdy sambo's house floor,0.0,Netral
19/12/2022,10:46:33,kompastv,event bharada e cecar strong forensic expert facts ferdy sambo shoot brigadier j,0.2263,Positif
05/12/2022,11:11:37,inewsdotid,bharada e cecar event strong ma ruf ricky gloves using sambo,0.5106,Positif
15/12/2022,10:02:37,this is the dotcom,the event bharada e duga Ferdy Sambo wearing gloves to execute brigadier j gegara dna bandung,0.0,Netral
28/12/2022,10:31:31,breaking news,bharada e dig event ferdy sambo shakedown command,-0.296,Negatif
14/12/2022,19:39:03,idntimes,bharada e glock event using sambo shoot Yosua lost,-0.5719,Negatif
18/01/2023,16:58:07,idntimes,bharada e judge representative god's event is fair,0.3182,Positif
18/01/2023,14:08:02,catra_com,event bharada e please sue the prosecutor client indictment,0.3182,Positif
11/01/2023,11:48:01,catra_com,"bharada e event, please sue the prosecutor according to the facts of the trial",0.3182,Positif
04/01/2023,21:43:35,terkindots,event bharada e surprised the indictment confessed to seeing sambo shoot joshua bharada program richard eliezer bharada e ronny talapessy surprised the charge of killing brigadier josua,-0.6124,Negatif
23/12/2022,12:25:33,kompastv,show bharada e clearly doenpleger as well as evil criminal law,-0.6124,Negatif
05/01/2023,23:16:14,orazid,show bharada e judge claim see cctv floor sambo house,0.0,Netral
05/01/2023,23:46:52,breaking news,bharada e show is consistently bright,0.4404,Positif
04/01/2023,19:47:09,vivacoid,event bharada e gun cabinet ferdy sambo vanished,-0.34,Negatif
04/01/2023,20:40:02,Eratotime,bharada e event ferdy sambo's house gun cupboard,-0.34,Negatif
05/01/2023,17:40:12,data_jambi,event bharada e see sambo shoot,-0.34,Negatif
19/12/2022,21:31:12,cnnindonesia,event bharada e response expert witness group wa duren,0.0,Netral
18/01/2023,13:06:14,gtvid_news,Bharada E Ronny Talapessy's event hopes that the JPU will take a progressive stance and demand that the complete AAS client be released,0.7603,Positif
04/01/2023,18:48:40,with a compass,event bharada e ronny talapessy claim gun cabinet private house ferdy sambo jalan saguling south jakarta client shock national bharadae,-0.6124,Negatif
14/12/2022,22:31:12,idntimes,event bharada e ronny talapessy clients often intimidate corner richard let go it's clear who ferdy sambo is,0.2023,Positif
07/11/2022,13:50:41,here's dotcom,event bharada e ronny talapessy client received money transfer account clear evidence bank employee bni witness trial continued with indictment richard eliezer ricky rizal strong ma ruf,0.7096,Positif
27/01/2023,9:26:18,btvidofficial,bharada e rory event i can't stop thinking about suing the prosecutor to accept the client in the brigadierj murder trial news one read in full,-0.5126,Negatif
18/01/2023,17:10:30,inewsdotid,Bharada E Sayang program JC's status weighs on the prosecutor's demand for prison,-0.5859,Negatif
30/11/2022,10:41:36,detikcom,event bharada e call ricky rizal strong ma ruf change bright event report check bap hook glove ferdy sambo,0.7351,Positif
21/01/2023,16:43:18,demokrasicoid,Bharada E shows video evidence of Ferdy Sambo bribing prosecutors,0.0,Netral
14/12/2022,20:09:50,detikcom,event bharada eliezer reveals the light of experts dna hs weapons are identical to the hands of the late brigadier yosua hutabarat,-0.4404,Negatif
04/01/2023,16:45:20,detikcom,bharada event richard eliezer ronny talapessy called the judge mocked the gun cabinet of ferdy sambo's private house,-0.5719,Negatif
17/01/2023,8:07:34,tvonenews,Brigadier J's event denies that Joshua is having an affair with his beautiful fiancee Candrawathi's daughter,0.2732,Positif
12/12/2022,14:06:05,jurnascom,"Brigadier J's event is lying, Ferdy Sambo is afraid of the death penalty",-0.8834,Negatif
17/01/2023,6:18:31,bogor tribune,Brigadier J's event is worried that Bharada E's demands will be heavier than Mauf Alas's strength,0.25,Positif
17/01/2023,10:50:06,terkindots,Brigadier J's event is suspicious Ferdy Sambo Putri is lightly sued for attorney's family Brigadier Nofriansyah Yosua Hutabarat Brigadier J Martin Lukas Simanjuntak,-0.3612,Negatif
26/12/2022,17:17:36,tvonenews,event brigadier j ferdy sambo police institutions consider evil,-0.6597,Negatif
17/01/2023,10:10:01,catra_com,Brigadier J's event hopes that the prosecutor will sue Ferdy Sambo for a minimum of life,0.4215,Positif
18/01/2023,11:00:01,catra_com,brigadier j's event hopes that princess candrawathi will sue the maximum law,0.4215,Positif
18/01/2023,16:08:01,catra_com,"Brigadier J's event was disappointed, Putri Candrawathi demanded",-0.6124,Negatif
18/01/2023,15:50:36,inewsdotid,brigadier j's event was disappointed that princess candrawathi demanded a serious evil prison,-0.9186,Negatif
19/01/2023,13:26:01,catra_com,"brigadier j's event, the families of the victims were disappointed, bharada e demanded that it be lightened",-0.743,Negatif
18/01/2023,10:58:02,catra_com,"Brigadier J's program, Joshua's family, hopes that Bharada E will be light",0.4215,Positif
25/12/2022,12:36:51,zonafaktacom,event brigadier j report to the police,0.0,Netral
26/12/2022,10:25:20,abuser,Brigadier J Martin Simanjuntak's claim that Princess Candrawathi damaged the scenario of Joshua's death trial,-0.7783,Negatif
30/12/2022,16:00:35,vivacoid,event brigadier j people who go to nightclubs deserve to be killed,-0.6705,Negatif
21/12/2022,17:05:23,corbanelone musk,"brigadier j pc's event pranks sambo pretending to be abusive so brigadier j kills sambo really believes in pc sambo, yes, it's a shame that pc really bucin, understandably love sambo junior high school",-0.5423,Negatif
12/12/2022,0:20:40,camera reportgm1,event brigadier j police serving state mafia,0.0,Netral
12/12/2022,12:55:31,terkindots,event brigadier j police many state mafia servants,0.0,Netral
10/12/2022,12:26:33,terkindots,brigadier j event the police many state mafia servants the brigadier j event alias brigadier yoshua Kamaruddin Simanjuntak the secret of police officers,0.0,Netral
24/12/2022,9:03:03,terkindots,event brigadier j police tail police content abdi mafia Kamaruddin Simanjuntak police tail police content servant mafia where do you call rata Indonesian police servant,0.0,Netral
24/12/2022,7:56:00,cnnindonesia,event brigadier j police tail police servant mafia,0.0,Netral
21/12/2022,5:03:04,tvonenews,"Brigadier J's event highlights Duren's whatsapp group, Obstruction of Justice",0.5267,Positif
12/12/2022,8:59:07,sindonews,Brigadier J's event of accusing the police of serving the mafia arteria and the police of taking action on Sindonews is not ordinary news,-0.1779,Negatif
07/12/2022,16:32:50,cnnindonesia,brigadier j's event accuses sambo of raping a premature daughter,-0.802,Negatif
17/01/2023,10:26:54,republika online,brigadier j fiancé event,0.0,Netral
18/01/2023,12:28:42,Masregar,brigadier j's event sued bharada e lightly,0.0,Netral
18/01/2023,10:14:28,breaking news,brigadier j's event demands bharada e mild princess maximum,0.0,Netral
30/12/2022,15:14:34,the people's mind,Brigadier J Yoshua's event deserves to kill Daden's clubbing,-0.6908,Negatif
18/01/2023,16:41:32,detiksulsel,brigadier josua's event i was disappointed to sue candrawathi daughter prison,-0.7506,Negatif
23/01/2023,12:39:30,kompastv,"Brigadier Joshua Gera Tanah's event tries to influence Ferdy Sambo's verdict, it's difficult to prove the family event, Joshua Martin Simanjuntak hides, tries to influence the panel of judges to break up",-0.3818,Negatif
18/01/2023,14:52:08,detikcom,Brigadier Joshua Martin Lukas Simanjuntak's event was disappointed that the prosecutor demanded that Putri Candrawathi be jailed,-0.802,Negatif
08/09/2022,15:15:16,detikjateng,"Ricky's bripka event, the client is strong, ma'ruf, but the leak asked for Sambo Ricky",-0.2382,Negatif
28/12/2022,13:10:43,withcom_id,the indictment event bharada e attends albert aries wrong spokesperson for outreach rkuhp albert attends light expert bharada e i attend prodeo pro bono charges medcomid,-0.4767,Negatif
28/12/2022,19:11:07,laughing,screen command line indictment show except ph indictment bharada e continue,0.0,Netral
08/12/2022,12:50:00,radarsolo_,strong indictment program ma ruf irwan irawan reports revelation faith santoso judge trial kills brigadier nofriansyah yoshua hutabarat alias brigadier j judicial commission ky supreme court ma strongmakruf supreme court fair judge,0.9022,Positif
05/01/2023,16:30:47,betweennews,indictment richard eliezer ronny talapessy hand over prosecutor hook suing brigadier j nada parents richard full news,0.2732,Positif
14/12/2022,21:49:38,time dotco,event ferdy sambo arman hanis snapped bharada e south jakarta district fair trial,0.3182,Positif
25/01/2023,12:02:05,here's dotcom,event by ferdy sambo arman hanis the panel of judges acquitted his client demanding life imprisonment for murdering Nofriansyah yoshua hutabarat brigadier j's plot,-0.6369,Negatif
04/01/2023,14:01:28,chatnewas_eid,event ferdy sambo arman hanis check house saguling ban tuding bharada e ferdysambo bharadae brigadirj,-0.5574,Negatif
20/12/2022,15:40:22,bogor tribune,"Ferdy's event, Sambo Lied, Bharada E, trial of official house CCTV evidence",-0.3818,Negatif
27/12/2022,22:43:02,tauberitamedia,event ferdy sambo febri diansyah questioned the position of richard eliezer alias bharada e justice collaborator lie,0.4588,Positif
29/12/2022,17:05:40,with a compass,event ferdy sambo ferdy diansyah alas hand over photo of brigadier j nightclub evidence of the panel of judges,0.2732,Positif
16/01/2023,15:30:13,vivacoid,Ferdy's sambo program Putri Candrawathi Arman Hanis Ban cheating on client Putri Nofriansyah Yosua Hutabarat alias Brigadier J demands complete,-0.802,Negatif
27/12/2022,17:15:01,withcom_id,Ferdy's event Sambo Putri Candrawathi Febri Diansyah regarding understanding receiving orders on orders from Ferdy Sambo Bharada E Hajar Brigadier J Meaning Shoot Medcomid,-0.34,Negatif
29/12/2022,16:34:13,die dead,event ferdy sambo handing over evidence of one of the photos of brigadier j club wau fs holy person yes no night club fs event no fs material fs photos of clubs that share how to try a little quality,0.128,Positif
04/01/2023,12:07:05,withcom_id,"Ferdy Sambo's event reveals the evidence of the panel of judges, South Jakarta District Court, prosecutors charge the prosecutor to check the location of the object to kill the plot of Brigadier J, Medcomid",-0.6908,Negatif
09/12/2022,23:48:01,catra_com,FS event denies client issues I shoot Brigadier J in the back,-0.6369,Negatif
25/01/2023,14:57:07,RipperGum,brigadier j free fs event complete,0.5106,Positif
10/12/2022,13:12:58,arifuddin nur 71,"The FS and PC program deliberately led to the truth that was already clearly visible to become Abu Bharada. E shot Brigadier J while he was still alive and groaning in pain, but Ferdy Sambo shot Brigadier J in the back of the head, he didn't make a sound anymore, he said don't shoot",0.5725,Positif
11/01/2023,17:00:12,breaking news,event please lightly guide bharada e,0.3182,Positif
18/01/2023,23:43:33,vivacoid,wonder show demands bharada e indictment,0.0,Netral
19/01/2023,6:20:35,financenews id,Ferdy's wife event Sambo invites Brigadier J,0.0,Netral
24/01/2023,22:55:26,cnnindonesia,Attorney General's event failed to determine Sambo's motive for killing Brigadier J,-0.8271,Negatif
25/01/2023,15:45:29,newsroom,Family event of the late Brigadier J Kamaruddin Simanjuntak The value of the power relations of the Prosecutors Natural Pergola of Conscience Prosecute the charge of murder Brigadier J Kamaruddin Simanjuntak's plan is relas,-0.5423,Negatif
25/01/2023,15:24:45,with a compass,Family event of the late Brigadier J Kamaruddin Simanjuntak the value of JPU's power relations experienced pergola of conscience sued for the murder of Brigadier J Kamaruddin Simanjuntak's plot relationkuasaferdysambo,-0.5106,Negatif
16/01/2023,19:46:02,catra_com,Brigadier J's family event denies that the client's son is having an affair with Putri Candrawathi,-0.4215,Negatif
16/01/2023,21:05:03,mediaindonesia,family event brigadier j denies cheating on martin cheating on brigadier j daughter jpu voice sexual harassment sexual daughter,-0.926,Negatif
25/01/2023,19:50:03,with a compass,brigadier j's black book family event threatens the evil sin party ferdy sambo,-0.836,Negatif
17/01/2023,11:38:37,jurnalnews_id,brigadier j's family event indictment denies cheating,-0.7506,Negatif
13/12/2022,3:18:26,nusantara_desa,brigadier j ferdy sambo's family event lied afraid of the death penalty,-0.8591,Negatif
04/01/2023,10:19:34,kompastv,brigadier j ferdy sambo's family event kills yosua kali,-0.5423,Negatif
17/01/2023,17:23:21,republika online,brigadier j ferdy sambo family event death law,-0.5994,Negatif
26/12/2022,9:54:10,monitoring,Brigadier J Ferdy Sambo's family event confirms the Criminal Code murder article,-0.8442,Negatif
17/01/2023,19:10:24,niki_mirzaaa,Brigadier J's family event hopes that Ferdy Sambo will demand a minimum of life imprisonment. Sindonews is not an ordinary news,0.3182,Positif
18/01/2023,6:24:34,vivacoid,"Brigadier J's family event, Prosecutor Cemen, demands that Ferdy Sambo be sentenced to death",-0.6124,Negatif
24/01/2023,15:01:16,with a compass,"brigadier j's family event, Kamaruddin Simanjuntak, I'm coming, General of Police, Active, Non-Active, Kamaruddin General, Light Lob Business, Law Ferdy Sambo, Ferdysambo Kamaruddinsimanjuntak",0.4019,Positif
11/12/2022,16:10:34,time dotco,"brigadier j kammaruddin simanjuntak's family event, the value of ferdy sambo was lying, the trial was afraid of the national death penalty",-0.836,Negatif
18/01/2023,14:57:17,with a compass,"Brigadier J's family event was disappointed, Putri Candrawathi demanded prison time to prove her acquittal in the Criminal Code",-0.8934,Negatif
17/01/2023,8:33:03,antvklikdotcom,family events brigadier j strong ma ruf rr law,0.5106,Positif
31/12/2022,7:58:01,catra_com,family event brigadier j mean sambo present proof of nightclub client,0.0,Netral
18/01/2023,14:00:03,Eratotime,"Brigadier J Martin's family event, Lukas Simanjuntak, is disappointed that the prosecutor has filed for the indictment of Putri Candrawathi in prison for eight",-0.7506,Negatif
16/12/2022,15:06:44,metro_tv,"brigadier j martin's family event, lukas simanjuntak, responsive to polygraph test results, impression of cheating on brigadier j's daughter, candrawathi, trialferdysambo, ferdysambo, criminal law, Putri candrawathi, brigadirj",-0.5574,Negatif
30/12/2022,16:24:04,the people's mind,Brigadier J Martin Simajuntak's family event against the Ferdy Sambo gang was not difficult,0.2755,Positif
19/12/2022,9:10:02,kompastv,brigadier j's family event apologizes ferdy sambo the men are different clients,0.3612,Positif
17/01/2023,21:22:00,mncnewsroom,Brigadier J Ricky Rizal Strong Ma Ruf's family event demands prison,0.0,Netral
17/01/2023,6:26:03,vivacoid,family event brigadier j rr strong ma ruf law prison,0.0,Netral
15/01/2023,17:14:20,people's guidelines,Brigadier J Sambo Putri Candrawathi's family event deserves a death sentence,-0.5574,Negatif
11/12/2022,12:55:58,withcom_id,family event brigadier j satan laugh lie sambo,0.5574,Positif
16/01/2023,19:50:01,catra_com,Brigadier J's family event demanded prosecutor Ricky Rizal Strong Ma Ruf Mild,0.34,Positif
16/01/2023,20:08:34,tribunnews,Brigadier Yosua Hutabarat Family Event Kamaruddin Simanjuntak Value Ferdy Sambo Putri Chandrawati deserves a death sentence LD,-0.296,Negatif
19/01/2023,10:07:59,cnniddaily,Brigadier Yosua's family event responds to demands for prison indictment Putri Candrawathi co-indicts Putri Candrawathi wrong intellectual actor kills client,-0.765,Negatif
18/01/2023,16:30:00,tirto id,family event brigadier josua values ​​princess candrawathi maximum legal involvement in active plot to kill,0.0516,Positif
19/01/2023,8:20:24,narasinewsroom,Brigadier Yosua's family event demanded that Putri Candrawathi fly,-0.2263,Negatif
17/01/2023,0:24:21,he agreed,event worry sue bharada e strong maruf ricky rizal,0.1027,Positif
14/12/2022,15:52:02,tauberitamedia,strong ma'ruf event accurate polygraph results indictment for killing Brigadier N Yosua Hutabarat percent figure,-0.2732,Negatif
16/01/2023,12:30:30,mncnewsroom,Ma Ruf's strong event acquitted of claims of being involved in the murder of Brigadier J,-0.1027,Negatif
16/01/2023,19:39:20,netizen republic,strong event ma'ruf client demands acquittal of murder of brigadier j,-0.34,Negatif
08/12/2022,13:44:02,catra_com,powerful event ma ruf report chief judge kills brigadier j judicial commission,-0.1779,Negatif
24/01/2023,11:22:44,detikcom,strong event ma ruf memorandum of defense ban cheating on wife sambo Putri candrawathi adjutant sambo brigadier Yosua,-0.5267,Negatif
24/01/2023,15:44:17,newsroom,strong event ma ruf cheating princess-brigadier j picis imagination,-0.0772,Negatif
08/12/2022,11:59:07,kompastv,strong event maruf reports trial judge kills brigadier j ky,-0.0516,Negatif
24/01/2023,14:31:24,intercell,strong event maruf cheating princess-brigadier j picis imagination,-0.0772,Negatif
25/01/2023,15:20:02,economic news,"Maruf Firm's strong event, Ferdy Sambo's work client, Brigadier J",0.5106,Positif
16/01/2023,21:33:53,cnnindonesia,strong event cheating brigadier j witness daughter,-0.0772,Negatif
24/01/2023,15:00:29,answer,strong show cheating princess-brigadier j picis imagination,-0.0772,Negatif
27/01/2023,19:46:39,republika online,abusive score event bharada's wrongful killing event e,-0.8625,Negatif
30/12/2022,14:59:44,extortion,"The PC event was frenzied, confused, looking for a way to attack Brigadier J. Common sense wasn't forced by the boss, except to take care of stupid people",-0.4802,Negatif
04/01/2023,13:06:32,tvonenews,event check crime scene evidence princess candrawathi see shoot brigadier j,-0.7096,Negatif
18/01/2023,17:41:41,cnnindonesia,protest event bharada e demands prison alludes to jc,-0.6486,Negatif
19/01/2023,10:08:42,media context,public event legal aid center community lbhm ralian jawalsen value prosecution prosecutors prosecute semat prison richard eliezer pudihang lumiu bharada e evidence,-0.743,Negatif
01/09/2022,1:10:14,coil,princess event arman hanis check times the confrontation of Putri Sangka Bharada Richard Eliezer bripka Ricky Rizal is strong ma ruf Kumbolnews,0.25,Positif
16/01/2023,19:04:01,catra_com,Putri Candrawathi's event denies cheating client Brigadier J,-0.7506,Negatif
27/12/2022,14:13:51,detikcom,Putri Candrawathi's program presumes that the prosecutor failed to prove the charge of killing Brigadier Joshua's plot,-0.8271,Negatif
04/01/2023,20:00:33,vivacoid,event princess candrawathi see become brigadier j shoot,-0.34,Negatif
04/01/2023,13:14:41,betweennews,princess candrawathi's event examines the duren crime scene evidence of the daughter of the murder of brigadier j priority evidence of Putri Sambo's attorney team,-0.8481,Negatif
20/10/2022,14:56:36,most1058,event princess candrawathi rasamala aritonang menep client hook up information iphone pro max money bharada e bripka ricky rizal strong ma ruf mostupdate,0.5106,Positif
04/01/2023,18:01:03,soloposdotcom,"daughter's event to check the house, Sambo denies witness Bharada Eliezer",-0.4215,Negatif
21/12/2022,17:30:00,kompastv,event richard eliezer bharada e ronny talapessy client according to ronny call opportunity remove criminal hook eliezer penal code,-0.1531,Negatif
14/12/2022,21:42:36,betweennews,event richard eliezer hook bright expert dna witness richard eliezer indictment ferdy sambo wearing gloves holding a gun brigadier j ferdysambo brigadirj,0.128,Positif
20/12/2022,13:07:36,vivacoid,ricky rizal bharada e group wa duren event change number,0.0772,Positif
02/01/2023,10:36:01,catra_com,Ricky Rizal's event was attended by a mild psychologist for the position of Brigadier J,0.0,Netral
20/12/2022,12:12:31,detikcom,event ricky rizal zena dinda defega alas client whatsapp group duren brigadier n yosua hutabarat shot dead,-0.7506,Negatif
20/12/2022,15:51:50,detikcom,sambo event arman hanis cctv claims ferdy sambo wearing broken gloves bright bharada richard eliezer,-0.0516,Negatif
28/12/2022,8:14:55,news_wanheart,the sambo event irritated the prosecutor because of the prosecutor's accusation that he failed to prove the motive for killing Brigadier J,-0.9136,Negatif
05/01/2023,1:20:02,catra_com,event sambo point review crime scene kill brigadier j,-0.8481,Negatif
19/12/2022,14:50:33,tvonenews,sambo event expert witness suspected body abuse of brigadier j,-0.7269,Negatif
20/12/2022,17:58:01,catra_com,the sambo event highlights the moment when bharada e brought into the barrel of the saguling house,0.0,Netral
30/12/2022,15:16:23,google photo,event sambo show photo Brigadier J nightclub Kamaruddin General Qualified,0.0,Netral
15/12/2022,13:13:36,8angsaid,palai team event andreas nahot silitonga replace deolipa yumara andreas resign bharada e i killed brigadier j real people told ferdy sambo,-0.7845,Negatif
28/01/2023,20:48:18,Advertisement,the action is tri sad that the judge's decision to sue the prosecutor for corruption related to public office deserves sambo,-0.4767,Negatif
18/01/2023,15:46:19,thirdofandlsd3,actually i'm not really followed this case but i know he is deserved to be loved so disappointed how broken the result of the word twt trash can't change the trial break up hopefully giving a strong family especially bharada e,0.7519,Positif
28/12/2022,12:40:41,tribunyambique,"Referring to the article, Ferdy Sambo is fully responsible for the death of Brigadier Joshua",-0.3197,Negatif
05/01/2023,11:26:42,detikcom,There is a gun cabinet at Ferdy Sambo's house. Revealed the trial on the murder of Brigadier Yosua. The position of the gun cabinet revealed Bharada Eliezer,-0.8591,Negatif
29/01/2023,17:12:48,godwinc40203509,there is sambo,0.0,Netral
26/12/2022,11:25:01,aelesther,there was Eliezer taking heart from the family of the late Brigadier sharp erase the fact that helping the deceased's life when you care about your friends don't make it,0.9136,Positif
30/01/2023,6:03:29,cute jihoon,sister of Asahi Jakmer Crab but Asahi's PC pair,0.0,Netral
19/12/2022,20:00:05,the people's mind,adam proves brigadier j's sexual harassment behavior criminologist putri candrawathi claims,-0.5423,Negatif
17/12/2022,7:04:44,ma_sumadi,"adc pc enters bharada's room e times enters the room by the way, by the way, is it crazy or not, the style of the pc, the pc is slammed, yes, an old man has a crazy fatal injury",-0.8126,Negatif
31/08/2022,13:11:23,daily publication,scene wife ferdy sambo princess candrawathi bharada e alias richard eliezer bripka ricky rizal brigadier j strong ma ruf car official residence duren police complex ferdysambotersuspect,0.5106,Positif
30/01/2023,0:38:45,gulagarmbata,fadil sambo scene ea,0.0,Netral
24/01/2023,14:48:35,putrihergianti,"his younger brother, the late Brigadier J",0.0,Netral
05/01/2023,18:58:08,opositulen_,adi napitupulu finished luhut binsar pandjaitan luhut pdi struggle mahfud wiji thukul arema bharada e,-0.3182,Negatif
20/12/2022,8:00:44,heraldindo,adi setya check cell phone bharada richard eliezer whatsapp group wag duren digital forensic expert group ditsiber polri contact name of god jesus rickyrizal,0.2263,Positif
02/11/2022,14:26:14,here's dotcom,Brigadier J's younger brother Nofriansyah Yoshua Hutabarat Mahareza Rizky I contacted the person who blocked my brother's grave until he gave witnesses at the trial to continue the charge against Ma Ruf Ricky Rizal,-0.5719,Negatif
10/01/2023,20:33:42,Jokoa 0524515,Brigadier J Reza Hutabarat Putri Candrawathi's chat Sunday likes to chat first,0.4215,Positif
03/11/2022,11:19:31,suaradotcom,brother brigadier j reza hutabarat prosecution trial ricky rizal kuwat ma ruf,-0.4939,Negatif
19/01/2023,13:02:04,fajaridnetwork,brigadier j's sister accepts princess candrawathi sues reza hutabarat boiling blood bang follow breaking news indiaopen saintlaurentxten kim seokjin arsenal thursday pharaoh newjeans first love de gea mark lee,0.7579,Positif
12/01/2023,16:56:06,tribune lombok com,brigadir jreza's younger sister Putri Candrawathi exchange messages Putri Candrawathi chat told Putri Candrawathi to play at Putri Candrawathi's house Brigadierj Brigadiryosua Ferdysambo Yosuahutabarat Chuckputranto,0.34,Positif
19/01/2023,0:19:59,jhonelnaro,just right grave brigadier josua hutabarat ripjustice savebharadae saverichardeliezer dislodged,-0.3818,Negatif
20/01/2023,16:35:04,mediaindonesia,Adil Bharada E Prosecutor Throws Hot Ball Judge Attorney General People are waiting for the panel of judges to decide to kill Brigadier Nofriansyah Yosua Hutabarat's plot,-0.6908,Negatif
19/01/2023,14:34:15,independent popular,Adil Bharada E Status Justice Collaborator demands jail time,0.5267,Positif
18/01/2023,16:15:00,r_david_wullur,just eliezer god strengthens bharada e,0.6249,Positif
19/01/2023,14:05:57,ronaldo_juang,just jpu bharada e is different departing from a different conscience so sad,-0.6113,Negatif
19/01/2023,22:38:29,in the field,"fair, the prosecutor's decision to demand a verdict, yr Eliezersambo, life span for Putri Candrawati, yrs, the prosecutor should have sentenced Sambo to law for the death of Putri, yr Eliezer, yr fair because Eliezer Justice is a collaborator",0.4767,Positif
18/01/2023,18:30:25,sunggal24_medan,fair where are the oppressed people terdzholimi bharada e saverichardeliezer,-0.2023,Negatif
20/01/2023,20:50:11,sunggal24_medan,just where are the oppressed people terdzholimi bharada e saverichardeliezer justiceforichad,-0.4767,Negatif
18/01/2023,15:24:07,beceng market,just noble madam pc bharada e,0.4588,Positif
18/01/2023,18:13:46,mrnw_12,fair country trust more honest dare to lose bear fair people are fair,0.8777,Positif
25/01/2023,14:06:44,forumterkini,just the land of jakarta seatan held a further trial in charge of daughter candrawathi in connection with the murder of brigadier j's plan wednesday the latest forum accurate news presenting information on the south jakarta district court Putri candrawathi brigadirj,-0.6908,Negatif
06/01/2023,20:22:32,with a compass,fair country south jakarta ban narration chairman of the panel of judges killed brigadier j's plan revelation faith santoso leaked ferdy sambo national judgeimanwahyusantoso's verdict,-0.6908,Negatif
13/01/2023,22:01:21,metro_tv,just the land of south jakarta held a hearing on charges of obstruction of justice in the murder of brigadier j i can be indicted believe it,-0.5267,Negatif
18/01/2023,16:15:25,forumterkini,fair land South Jakarta holds a reading trial demanding richard eliezer bharada e wednesday the latest forum accurate news presenting information bharadae eliezerangels,0.1027,Positif
26/12/2022,15:09:44,indosiar,fair country south jakarta holds trial to kill brigadier yosua hutabarat's attorney team richard eliezer attends light expert indictments indosiarnews news,-0.5267,Negatif
09/11/2022,9:40:04,coil,just the land of south jakarta holds a trial indictment strong ma ruf ricky rizal agenda trial examines Kumbolnews witnesses,0.5106,Positif
18/01/2023,8:43:41,radio remote control,fair land south jakarta holds a hearing with reading agenda sue bharada e vice chairman of lpsk maneger nasution bharada e justice collaborator true demands light behavior,0.8176,Positif
26/12/2022,9:49:35,gobibareng_id,just south jakarta government holds trial for alleged murder of brigadier j indicts bharada e,-0.6908,Negatif
18/01/2023,17:00:54,vivacoid,just the land of south jakarta holds trial for the alleged murder of brigadier j indictment richard eliezer alias bharada e putri candrawathi read agenda sue mild prosecutor sue prosecutor,-0.6908,Negatif
26/12/2022,10:03:51,withcom_id,just the land of south jakarta holds trial for alleged plot to kill brigadier nofriansyah yosua hutabarat brigadier j trial attends indictment bharada e medcomid,-0.6908,Negatif
11/01/2023,14:54:51,kompasdata,Adil Negeri Jakarta Selatan holds a trial to continue the murder of Brigadier J's plan. Putri Candrawathi's hearing examines the charges,-0.7783,Negatif
